symbol,Disease_Trait,link
RNASEL,Morning vs. evening chronotype,www.ncbi.nlm.nih.gov/pubmed/26835600
RNASEL,Multiple sclerosis,www.ncbi.nlm.nih.gov/pubmed/23412934
RNASEL,Chronotype,www.ncbi.nlm.nih.gov/pubmed/27494321
RNASEL,Morning vs. evening chronotype,www.ncbi.nlm.nih.gov/pubmed/27494321
