symbol,Disease_Trait,link
LTK,Parkinson's disease,www.ncbi.nlm.nih.gov/pubmed/28892059
LTK,Itch intensity from mosquito bite adjusted by bite size,www.ncbi.nlm.nih.gov/pubmed/28199695
LTK,Urinary albumin excretion (no hypertensive medication),www.ncbi.nlm.nih.gov/pubmed/30220432
