symbol,Disease_Trait,link
MKNK2,Nonsyndromic cleft lip with or without cleft palate,www.ncbi.nlm.nih.gov/pubmed/28087736
MKNK2,Subjective well-being,www.ncbi.nlm.nih.gov/pubmed/27089181
MKNK2,Self-reported math ability,www.ncbi.nlm.nih.gov/pubmed/30038396
