symbol,Disease_Trait,link
BRSK1,Menopause (age at onset),www.ncbi.nlm.nih.gov/pubmed/19448619
BRSK1,Breast cancer,www.ncbi.nlm.nih.gov/pubmed/29059683
BRSK1,Menarche and menopause (age at onset),www.ncbi.nlm.nih.gov/pubmed/19448621
