symbol,Disease_Trait,link
CAMKK1,Systemic sclerosis (anti-topoisomerase-positive),www.ncbi.nlm.nih.gov/pubmed/29293537
CAMKK1,Smoking behavior,www.ncbi.nlm.nih.gov/pubmed/19247474
