symbol,Disease_Trait,link
STK17A,Irritable bowel syndrome,www.ncbi.nlm.nih.gov/pubmed/29673008
STK17A,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
STK17A,Mean corpuscular hemoglobin,www.ncbi.nlm.nih.gov/pubmed/30595370
