symbol,Disease_Trait,link
TTBK1,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/29403010
TTBK1,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/29403010
TTBK1,Breast cancer,www.ncbi.nlm.nih.gov/pubmed/29059683
TTBK1,Mean arterial pressure,www.ncbi.nlm.nih.gov/pubmed/29403010
TTBK1,Stroke,www.ncbi.nlm.nih.gov/pubmed/29531354
TTBK1,Ischemic stroke,www.ncbi.nlm.nih.gov/pubmed/29531354
TTBK1,General cognitive ability,www.ncbi.nlm.nih.gov/pubmed/29844566
TTBK1,Automobile speeding propensity,www.ncbi.nlm.nih.gov/pubmed/30643258
TTBK1,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
