symbol,Disease_Trait,link
CAMKV,Intelligence (MTAG),www.ncbi.nlm.nih.gov/pubmed/29326435
CAMKV,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/27225129
CAMKV,Age at first birth,www.ncbi.nlm.nih.gov/pubmed/27798627
CAMKV,Educational attainment,www.ncbi.nlm.nih.gov/pubmed/27046643
CAMKV,General cognitive ability,www.ncbi.nlm.nih.gov/pubmed/29844566
CAMKV,Smoking status,www.ncbi.nlm.nih.gov/pubmed/30595370
