symbol,Disease_Trait,link
CDK17,Weight,www.ncbi.nlm.nih.gov/pubmed/20966902
CDK17,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30224653
CDK17,Eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/30595370
