symbol,Disease_Trait,link
PIK3C2B,Lung function (FEV1),www.ncbi.nlm.nih.gov/pubmed/30061609
PIK3C2B,Lung function (FVC),www.ncbi.nlm.nih.gov/pubmed/30061609
PIK3C2B,Facial morphology,www.ncbi.nlm.nih.gov/pubmed/29921221
PIK3C2B,Waist-hip ratio,www.ncbi.nlm.nih.gov/pubmed/30595370
