symbol,Disease_Trait,link
TLK2,Blood protein levels,www.ncbi.nlm.nih.gov/pubmed/29875488
TLK2,Lifespan,www.ncbi.nlm.nih.gov/pubmed/25918517
TLK2,Self-reported math ability (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
TLK2,Cognitive performance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
TLK2,Highest math class taken (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
TLK2,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30048462
TLK2,Self-reported math ability,www.ncbi.nlm.nih.gov/pubmed/30038396
TLK2,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30598549
TLK2,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30595370
