symbol,Disease_Trait,link
BRSK2,Myringotomy,www.ncbi.nlm.nih.gov/pubmed/28928442
BRSK2,Heroin dependence,www.ncbi.nlm.nih.gov/pubmed/27936112
BRSK2,Self-reported math ability,www.ncbi.nlm.nih.gov/pubmed/30038396
BRSK2,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30595370
