symbol,Disease_Trait,link
PKMYT1,beta-nerve growth factor levels,www.ncbi.nlm.nih.gov/pubmed/27989323
PKMYT1,Metabolic syndrome,www.ncbi.nlm.nih.gov/pubmed/20694148
