symbol,Disease_Trait,link
WNK2,Educational attainment (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
WNK2,Highest math class taken (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
WNK2,Self-reported math ability (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
WNK2,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30038396
WNK2,Cognitive performance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
