symbol,Disease_Trait,link
STKLD1,ADAMTS13 levels,www.ncbi.nlm.nih.gov/pubmed/29296746
STKLD1,Blood protein levels,www.ncbi.nlm.nih.gov/pubmed/30072576
STKLD1,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
STKLD1,Red cell distribution width,www.ncbi.nlm.nih.gov/pubmed/30595370
