symbol,Disease_Trait,link
CLK4,Neutrophil percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
CLK4,Urate levels in obese individuals,www.ncbi.nlm.nih.gov/pubmed/25811787
