symbol,Disease_Trait,link
TAOK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/28991256
TAOK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/30285260
TAOK2,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30595370
