symbol,Disease_Trait,link
NEK5,Parental longevity (mother's age at death),www.ncbi.nlm.nih.gov/pubmed/27015805
NEK5,Antibody status in Tripanosoma cruzi seropositivity,www.ncbi.nlm.nih.gov/pubmed/24324551
