symbol,Disease_Trait,link
SCYL2,Stem cell growth factor beta levels,www.ncbi.nlm.nih.gov/pubmed/27989323
SCYL2,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30595370
