symbol,Disease_Trait,link
CDKL1,Periodontal disease-related phenotypes,www.ncbi.nlm.nih.gov/pubmed/24347629
CDKL1,Cognitive performance,www.ncbi.nlm.nih.gov/pubmed/20125193
CDKL1,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
CDKL1,Mean corpuscular hemoglobin,www.ncbi.nlm.nih.gov/pubmed/30595370
