symbol,Disease_Trait,link
PKN3,Plateletcrit,www.ncbi.nlm.nih.gov/pubmed/27863252
PKN3,Obesity-related traits,www.ncbi.nlm.nih.gov/pubmed/23251661
PKN3,Gamma glutamyl transferase levels,www.ncbi.nlm.nih.gov/pubmed/29403010
PKN3,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
