gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,pdb_id
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,3P1A
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VD1
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VD0
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VD3
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VCX
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VCY
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VCZ
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VCV
9088,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",TRUE,TRUE,TRUE,TRUE,21,Tchem,5VCW
