gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,pdb_id
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,5YF9
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,3OFM
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,5YWM
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,5Y9M
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,5OOI
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,3E3B
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,5M4U
1459,CSNK2A2,casein kinase 2 alpha 2,TRUE,TRUE,TRUE,TRUE,12,Tchem,5M56
