gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,pdb_id
51755,CDK12,cyclin dependent kinase 12,TRUE,TRUE,TRUE,TRUE,66,Tbio,6CKX
51755,CDK12,cyclin dependent kinase 12,TRUE,TRUE,TRUE,TRUE,66,Tbio,4CXA
51755,CDK12,cyclin dependent kinase 12,TRUE,TRUE,TRUE,TRUE,66,Tbio,4UN0
51755,CDK12,cyclin dependent kinase 12,TRUE,TRUE,TRUE,TRUE,66,Tbio,5ACB
51755,CDK12,cyclin dependent kinase 12,TRUE,TRUE,TRUE,TRUE,66,Tbio,6B3E
51755,CDK12,cyclin dependent kinase 12,TRUE,TRUE,TRUE,TRUE,66,Tbio,4NST
