gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,pdb_id
9578,CDC42BPB,CDC42 binding protein kinase beta,TRUE,TRUE,TRUE,TRUE,10,Tbio,4UAK
9578,CDC42BPB,CDC42 binding protein kinase beta,TRUE,TRUE,TRUE,TRUE,10,Tbio,4UAL
9578,CDC42BPB,CDC42 binding protein kinase beta,TRUE,TRUE,TRUE,TRUE,10,Tbio,3QFV
9578,CDC42BPB,CDC42 binding protein kinase beta,TRUE,TRUE,TRUE,TRUE,10,Tbio,5OTE
9578,CDC42BPB,CDC42 binding protein kinase beta,TRUE,TRUE,TRUE,TRUE,10,Tbio,5OTF
9578,CDC42BPB,CDC42 binding protein kinase beta,TRUE,TRUE,TRUE,TRUE,10,Tbio,3TKU
