gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,pdb_id
8445,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,TRUE,TRUE,TRUE,TRUE,54,Tchem,5LXD
8445,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,TRUE,TRUE,TRUE,TRUE,54,Tchem,5LXC
8445,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,TRUE,TRUE,TRUE,TRUE,54,Tchem,4AZF
8445,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,TRUE,TRUE,TRUE,TRUE,54,Tchem,3KVW
8445,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,TRUE,TRUE,TRUE,TRUE,54,Tchem,3K2L
8445,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,TRUE,TRUE,TRUE,TRUE,54,Tchem,5ZTN
