gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,pdb_id
9262,STK17B,serine/threonine kinase 17b,TRUE,TRUE,TRUE,TRUE,10,Tchem,3LM0
9262,STK17B,serine/threonine kinase 17b,TRUE,TRUE,TRUE,TRUE,10,Tchem,3LM5
