gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,pdb_id
8999,CDKL2,cyclin dependent kinase like 2,TRUE,TRUE,TRUE,TRUE,7,Tchem,4BBM
8999,CDKL2,cyclin dependent kinase like 2,TRUE,TRUE,TRUE,TRUE,7,Tchem,4AAA
