symbol,Gene.Accession,URL
STK17B,MGI:2138162,http://www.mousephenotype.org/data/genes/MGI:2138162
STK3,MGI:1928487,http://www.mousephenotype.org/data/genes/MGI:1928487
STK31,MGI:1924735,http://www.mousephenotype.org/data/genes/MGI:1924735
STK32A,MGI:2442403,http://www.mousephenotype.org/data/genes/MGI:2442403
STK32C,MGI:2385336,http://www.mousephenotype.org/data/genes/MGI:2385336
STK33,MGI:2152419,http://www.mousephenotype.org/data/genes/MGI:2152419
STK36,MGI:1920831,http://www.mousephenotype.org/data/genes/MGI:1920831
STK38L,MGI:1922250,http://www.mousephenotype.org/data/genes/MGI:1922250
STK40,MGI:1921428,http://www.mousephenotype.org/data/genes/MGI:1921428
STKLD1,MGI:2685557,http://www.mousephenotype.org/data/genes/MGI:2685557
TAOK1,MGI:1914490,http://www.mousephenotype.org/data/genes/MGI:1914490
TAOK2,MGI:1915919,http://www.mousephenotype.org/data/genes/MGI:1915919
TBCK,MGI:2445052,http://www.mousephenotype.org/data/genes/MGI:2445052
TESK1,MGI:1201675,http://www.mousephenotype.org/data/genes/MGI:1201675
TESK2,MGI:2385204,http://www.mousephenotype.org/data/genes/MGI:2385204
TLK1,MGI:2441683,http://www.mousephenotype.org/data/genes/MGI:2441683
TP53RK,MGI:1918294,http://www.mousephenotype.org/data/genes/MGI:1918294
TSSK1A,MGI:1347557,http://www.mousephenotype.org/data/genes/MGI:1347557
TSSK2,MGI:1347559,http://www.mousephenotype.org/data/genes/MGI:1347559
TSSK3,MGI:1929914,http://www.mousephenotype.org/data/genes/MGI:1929914
TSSK4,MGI:1918349,http://www.mousephenotype.org/data/genes/MGI:1918349
TTBK1,MGI:2147036,http://www.mousephenotype.org/data/genes/MGI:2147036
TTBK2,MGI:2155779,http://www.mousephenotype.org/data/genes/MGI:2155779
ULK4,MGI:1921622,http://www.mousephenotype.org/data/genes/MGI:1921622
VRK2,MGI:1917172,http://www.mousephenotype.org/data/genes/MGI:1917172
VRK3,MGI:2182465,http://www.mousephenotype.org/data/genes/MGI:2182465
WEE2,MGI:3027899,http://www.mousephenotype.org/data/genes/MGI:3027899
WNK2,MGI:1922857,http://www.mousephenotype.org/data/genes/MGI:1922857
