symbol,vector_catalog_number,fusion_name,vector_url,tracer_id,concentration,synapse_link,tracer_catalog_number,tracer_catalog_URL
CDKL5,Special Request,NanoLuc®-fused CDKL5,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,6908,0.25 µM,https://www.synapse.org/#!Synapse:syn18435645,"NA","NA"
CSNK1G2,Special Request,NanoLuc®-fused CSNK1G2,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435639,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
DYRK1B,Special Request,NanoLuc®-fused DYRK1B,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435652,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
MKNK2,Special Request,NanoLuc®-fused MKNK2,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-10 7600,0.5 µM,https://www.synapse.org/#!Synapse:syn18435649,"NA","NA"
NEK3,Special Request,NanoLuc®-fused NEK3,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435643,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
NEK9,Special Request,NanoLuc®-fused NEK9,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435642,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
RIOK2,Special Request,NanoLuc®-fused RIOK2,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435647,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
STK33,Special Request,NanoLuc®-fused STK33,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435638,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
PAK7,Special Request,NanoLuc®-fused PAK7,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435641,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
PKN3,Special Request,NanoLuc®-fused PKN3,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn18435648,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
STK17B,Special Request,NanoLuc®-fused STK17B,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7227,0.25 µM,https://www.synapse.org/#!Synapse:syn18435644,"NA","NA"
CDK19,Special Request,NanoLuc®-fused CDK19,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,8/7235,0.063 µM,https://www.synapse.org/#!Synapse:syn20689588,"NA","NA"
DCLK3,Special Request,NanoLuc®-fused DCLK3,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20689587,"NA","NA"
HIPK1,Special Request,NanoLuc®-fused HIPK1,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20689586,"NA","NA"
HIPK3,Special Request,NanoLuc®-fused HIPK3,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20689585,"NA","NA"
HIPK4,Special Request,NanoLuc®-fused HIPK4,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20689584,"NA","NA"
MAPK4,Special Request,NanoLuc®-fused MAPK4,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn20689583,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
MARK4,Special Request,NanoLuc®-fused MARK4,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn20689582,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
NEK4,Special Request,NanoLuc®-fused NEK4,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20689580,"NA","NA"
NEK11,Special Request,NanoLuc®-fused NEK11,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20689581,"NA","NA"
CAMK1D,Special Request,NanoLuc®-fused CAMK1D,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,9-7520,0.5 µM,https://www.synapse.org/#!Synapse:syn20715311,"NA","NA"
ICK,Special Request,NanoLuc®-fused ICK,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,12-7281,0.25 µM,https://www.synapse.org/#!Synapse:syn20715313,"NA","NA"
MAP3K10,Special Request,NanoLuc®-fused MAP3K10,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,K-5,1 µM,https://www.synapse.org/#!Synapse:syn20715315,N248A,https://www.promega.com/catalogredirection.aspx?partno=N2500
MARK3,Special Request,NanoLuc®-fused MARK3,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,10-7600,0.5 µM,https://www.synapse.org/#!Synapse:syn20715316,"NA","NA"
