symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Stomach,108.45,99
SCYL1,Dark,Stomach,58.11,97
NRBP2,Dark,Stomach,47.015,95
CDC42BPB,Dark,Stomach,42.11,94
MARK3,Dark,Stomach,41.27,93
BCKDK,Dark,Stomach,37.895,92
CSNK1G2,Dark,Stomach,35.52,91
PIP4K2C,Dark,Stomach,34.8,90
