symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Esophagus - Muscularis,138.25,98
NRBP2,Dark,Esophagus - Muscularis,127.4,98
SCYL1,Dark,Esophagus - Muscularis,85.485,96
PIP5K1C,Dark,Esophagus - Muscularis,85.15,95
CDC42BPB,Dark,Esophagus - Muscularis,67.72,94
NEK9,Dark,Esophagus - Muscularis,73.48,94
MAST2,Dark,Esophagus - Muscularis,66.565,93
HIPK3,Dark,Esophagus - Muscularis,58.525,92
TESK1,Dark,Esophagus - Muscularis,58.395,92
STK40,Dark,Esophagus - Muscularis,54,91
