symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Colon - Transverse,104.3,99
NRBP2,Dark,Colon - Transverse,61.075,96
CDC42BPB,Dark,Colon - Transverse,55.825,95
SCYL1,Dark,Colon - Transverse,55.81,95
ERN2,Dark,Colon - Transverse,51.8,94
MAST2,Dark,Colon - Transverse,46.105,92
