symbol,class,tissue_type,TPM,kinase_percentile
NRBP2,Dark,Nerve - Tibial,296.35,99
MKNK2,Dark,Nerve - Tibial,145.05,98
SCYL1,Dark,Nerve - Tibial,100.35,95
NEK9,Dark,Nerve - Tibial,80.695,94
CDC42BPB,Dark,Nerve - Tibial,73.63,93
HIPK3,Dark,Nerve - Tibial,76.695,93
NEK1,Dark,Nerve - Tibial,66.515,91
CSNK1G2,Dark,Nerve - Tibial,61.21,90
