symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Minor Salivary Gland,178.7,100
SCYL1,Dark,Minor Salivary Gland,72.16,98
NRBP2,Dark,Minor Salivary Gland,56.84,95
CDC42BPB,Dark,Minor Salivary Gland,46.67,92
CDK16,Dark,Minor Salivary Gland,44.33,91
RIOK3,Dark,Minor Salivary Gland,44.58,91
CSNK1G2,Dark,Minor Salivary Gland,42.58,90
