symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Skin - Not Sun Exposed (Suprapubic),181.9,99
EEF2K,Dark,Skin - Not Sun Exposed (Suprapubic),72.82,95
NRBP2,Dark,Skin - Not Sun Exposed (Suprapubic),71.08,95
SCYL1,Dark,Skin - Not Sun Exposed (Suprapubic),65.75,94
CDC42BPG,Dark,Skin - Not Sun Exposed (Suprapubic),61.97,93
CSNK2A2,Dark,Skin - Not Sun Exposed (Suprapubic),61.31,92
RIOK3,Dark,Skin - Not Sun Exposed (Suprapubic),59,91
