symbol,class,tissue_type,TPM,kinase_percentile
CDK18,Dark,Brain - Spinal cord (cervical c-1),309.1,100
NRBP2,Dark,Brain - Spinal cord (cervical c-1),200.2,100
PRKACB,Dark,Brain - Spinal cord (cervical c-1),80.43,98
PXK,Dark,Brain - Spinal cord (cervical c-1),80.07,97
NEK7,Dark,Brain - Spinal cord (cervical c-1),51.74,95
BRSK1,Dark,Brain - Spinal cord (cervical c-1),45.8,94
CDC42BPB,Dark,Brain - Spinal cord (cervical c-1),47.99,94
SCYL1,Dark,Brain - Spinal cord (cervical c-1),38.65,92
CDK16,Dark,Brain - Spinal cord (cervical c-1),32.77,90
