symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Skin - Sun Exposed (Lower leg),188.1,99
EEF2K,Dark,Skin - Sun Exposed (Lower leg),88.1,95
CSNK2A2,Dark,Skin - Sun Exposed (Lower leg),73.12,94
SCYL1,Dark,Skin - Sun Exposed (Lower leg),71.11,93
NRBP2,Dark,Skin - Sun Exposed (Lower leg),62.58,91
BCKDK,Dark,Skin - Sun Exposed (Lower leg),56.01,90
CDC42BPB,Dark,Skin - Sun Exposed (Lower leg),57.39,90
CDC42BPG,Dark,Skin - Sun Exposed (Lower leg),58.71,90
RIOK3,Dark,Skin - Sun Exposed (Lower leg),60.75,90
