symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Esophagus - Mucosa,277.7,100
RIOK3,Dark,Esophagus - Mucosa,96.12,96
CDC42BPB,Dark,Esophagus - Mucosa,57.53,92
NUAK2,Dark,Esophagus - Mucosa,55.53,92
SCYL1,Dark,Esophagus - Mucosa,53.3,92
CDK16,Dark,Esophagus - Mucosa,51.42,91
CSNK1G2,Dark,Esophagus - Mucosa,51.6,91
